id,sex,year,week,dist_week(km),time_week(s),elevation_week(m),nb_run_week,calories_week
7948503,M,2020,0,26.002499999999998,7881,430,2,1705
7948503,M,2019,52,43.906800000000004,13200,330,2,2280
7948503,M,2020,2,38.3611,12366,504,3,2235
7948503,M,2020,1,48.534,15932,509,3,2532
7948503,M,2019,51,31.332800000000002,10052,337,3,1689
7948503,M,2020,3,40.45,11845,252,4,2435
7948503,M,2020,4,20.6216,5724,121,2,1387
7948503,M,2020,9,24.5882,7353,225,2,1666
7948503,M,2020,8,32.603,10201,242,3,2177
7948503,M,2020,7,37.4516,11370,139,3,2161
7948503,M,2020,10,28.075699999999998,7876,293,2,1611
7948503,M,2020,11,10.9223,3545,202,1,632
7948503,M,2020,5,50.5559,15307,439,4,3002
7948503,M,2020,6,79.42169999999999,24201,887,4,4235
7948503,M,2020,13,46.4837,13501,319,4,2659
7948503,M,2020,14,56.8404,16496,681,5,3163
7948503,M,2020,12,38.459,10577,0,5,1925
7948503,M,2020,16,34.5398,9901,317,3,2015
7948503,M,2020,15,36.2855,10187,647,3,2108
7948503,M,2020,17,30.549400000000002,8401,24,2,1944
7948503,M,2020,18,31.662300000000002,10080,0,3,2010
7948503,M,2020,19,38.1823,12601,0,4,2378
7948503,M,2020,20,45.6822,15601,0,4,3378
7948503,M,2020,21,32.0009,9900,0,4,2314
7948503,M,2020,22,28.2325,9600,0,3,2206
7948503,M,2020,23,52.806200000000004,16237,0,4,3368
7948503,M,2020,25,32.1234,11099,0,4,2270
7948503,M,2020,24,29.880499999999998,9900,0,3,2148
7948503,M,2020,26,47.9808,17764,0,5,3487
7948503,M,2020,28,41.3968,13389,0,3,2748
7948503,M,2020,29,19.546100000000003,6601,102,2,1347
7948503,M,2020,27,26.458699999999997,9628,0,3,1849
7948503,M,2020,30,36.4103,11401,128,4,2325
7948503,M,2020,31,40.729200000000006,42461,3875.1,2,2323
7948503,M,2020,32,83.3537,55244,5220.299999999999,4,4986
7948503,M,2020,33,24.5625,7800,172,2,1347
7948503,M,2020,34,32.4401,10428,163,3,1925
7948503,M,2020,36,20.801099999999998,6600,139,2,1234
7948503,M,2020,37,35.1484,10801,180,3,2309
7948503,M,2021,21,19.2913,9240,1322,1,1431
7948503,M,2021,22,24.863300000000002,7598,31,3,1465
7948503,M,2021,23,25.321800000000003,9300,739,3,1741
7948503,M,2021,24,31.0841,11013,884,3,1989
7948503,M,2021,26,31.160199999999996,13270,1694,2,2211
7948503,M,2021,25,85.0836,49345,3665.2000000000003,5,5544
7948503,M,2021,27,90.17290000000001,48854,5818.3,3,7179
7948503,M,2021,28,26.464399999999998,16949,1586,2,1709
7948503,M,2021,29,77.7235,47329,5250,3,6287
7948503,M,2021,30,28.488300000000002,9000,34,2,1442
7948503,M,2021,31,57.6709,24335,2715,3,4136
7948503,M,2021,33,22.3527,7500,390,2,1363
7948503,M,2021,34,152.8658,83935,7691,3,10116
7948503,M,2021,36,49.6462,14783,89,4,3080
7948503,M,2021,37,20.185299999999998,6293,48,2,1277
7948503,M,2021,38,18.977199999999996,6750,1028,2,1454
7948503,M,2021,32,93.553,39991,3937.1,5,5792
7948503,M,2021,39,23.8307,8002,904,2,1667
7948503,M,2021,40,25.727800000000002,9136,993,2,1916
7948503,M,2021,41,10.5397,3300,33,1,704
7948503,M,2021,42,41.4226,14970,1319,3,2951
7948503,M,2021,43,123.7065,68899,6822,3,9822
7948503,M,2021,44,7.1072,2700,21,1,498
8593716,M,2019,0,40.676,12847,1170,3,3229
8593716,M,2019,3,20.531,7524,510,2,1665
